cnpj,input_company,setor,subsetor,segmento,cnae_primario,cnae_descricao,cnae_secundarios,source,confidence,cnae_secundarios_norm,cnae_secundarios_descricao,cnae_secundarios_pairs,cnae7,setor_progest,subsetor_progest,segmento_progest
08493364000162,CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08534605000174,RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"2829199,3513100,4221902,4322301,4669999,4789099,7020400,7112000,7739099,7740300",RFB_estab,0.9,2829199 | 3513100 | 4221902 | 4322301 | 4669999 | 4789099 | 7020400 | 7112000 | 7739099 | 7740300,"Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios | Comércio atacadista de energia elétrica | Construção de estações e redes de distribuição de energia elétrica | Instalações hidráulicas, sanitárias e de gás | Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças | Comércio varejista de outros produtos não especificados anteriormente | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Serviços de engenharia | Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador | Gestão de ativos intangíveis não financeiros","2829199 — Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios | 3513100 — Comércio atacadista de energia elétrica | 4221902 — Construção de estações e redes de distribuição de energia elétrica | 4322301 — Instalações hidráulicas, sanitárias e de gás | 4669999 — Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças | 4789099 — Comércio varejista de outros produtos não especificados anteriormente | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 7112000 — Serviços de engenharia | 7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador | 7740300 — Gestão de ativos intangíveis não financeiros",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08560444000193,CIA CELG DE PARTICIPACOES - CELGPAR,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"3312102,3313901,3321000,3511501,3511502,3512300,3513100,3514000,4221901,4221902,4221903,4399101,7112000,7119701,7119702,7119703,7739099",RFB_estab,0.9,3312102 | 3313901 | 3321000 | 3511501 | 3511502 | 3512300 | 3513100 | 3514000 | 4221901 | 4221902 | 4221903 | 4399101 | 7112000 | 7119701 | 7119702 | 7119703 | 7739099,"Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle | Manutenção e reparação de geradores, transformadores e motores elétricos | Instalação de máquinas e equipamentos industriais | Geração de energia elétrica | Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica | Transmissão de energia elétrica | Comércio atacadista de energia elétrica | Distribuição de energia elétrica | Construção de barragens e represas para geração de energia 
elétrica | Construção de estações e redes de distribuição de energia elétrica | Manutenção de redes de distribuição de energia elétrica | Administração de obras | Serviços de engenharia | Serviços de cartografia, topografia e geodésia | Atividades de estudos geológicos | Serviços de desenho técnico relacionados à arquitetura e engenharia | Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador","3312102 — Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle | 3313901 — Manutenção e reparação de geradores, transformadores e motores elétricos | 3321000 — Instalação de máquinas e equipamentos industriais | 3511501 — Geração de energia elétrica | 3511502 — Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica | 3512300 — Transmissão de energia elétrica | 3513100 — Comércio atacadista de energia elétrica | 3514000 — Distribuição de energia elétrica | 4221901 — Construção de barragens e represas para geração de energia 
elétrica | 4221902 — Construção de estações e redes de distribuição de energia elétrica | 4221903 — Manutenção de redes de distribuição de energia elétrica | 4399101 — Administração de obras | 7112000 — Serviços de engenharia | 7119701 — Serviços de cartografia, topografia e geodésia | 7119702 — Atividades de estudos geológicos | 7119703 — Serviços de desenho técnico relacionados à arquitetura e engenharia | 7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08572741000159,REP REAL ESTATE PARTNERS DESENV IMOB SA,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6463,6463800,"Outras sociedades de participação, exceto holdings",6462000,RFB_estab,0.9,6462000,Holdings de instituições não financeiras,6462000 — Holdings de instituições não financeiras,6463800,Serviços Financeiros,Serviços Financeiros Diversos,Outros Serviços Financeiros
08574411000100,PRÁTICA PRODUTOS S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 28,Classe 2821,2821602,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios","2061400,2823200,3314799,4649408,4665600,6463800,7739099,8299799",RFB_estab,0.9,2061400 | 2823200 | 3314799 | 4649408 | 4665600 | 6463800 | 7739099 | 8299799,"Fabricação de sabões e detergentes sintéticos | Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios | Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente | Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar | Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças | Outras sociedades de participação, exceto holdings | Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","2061400 — Fabricação de sabões e detergentes sintéticos | 2823200 — Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios | 3314799 — Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente | 4649408 — Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar | 4665600 — Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças | 6463800 — Outras sociedades de participação, exceto holdings | 7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente",2821602,Manufatura,Bens Industriais,Atividade Principal
08613550000198,NEXPE PARTICIPAÇÕES S.A,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,6821801,RFB_estab,0.9,6821801,Corretagem na compra e venda e avaliação de imóveis,6821801 — Corretagem na compra e venda e avaliação de imóveis,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08648295000119,ALLIS PARTICIPAÇÕES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"7820500,7810800,7830200,7319099,7320300,8291100,6619399,6619302,8230001,8211300",RFB_estab,0.9,7820500 | 7810800 | 7830200 | 7319099 | 7320300 | 8291100 | 6619399 | 6619302 | 8230001 | 8211300,"Locação de mão de obra temporária | Seleção e agenciamento de mão de obra | Fornecimento e gestão de recursos humanos para terceiros | Outras atividades de publicidade não especificadas anteriormente | Pesquisas de mercado e de opinião pública | Atividades de cobrança e informações cadastrais | Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente | Correspondentes de instituições financeiras | Serviços de organização de feiras, congressos, exposições e festas | Serviços combinados de escritório e apoio administrativo","7820500 — Locação de mão de obra temporária | 7810800 — Seleção e agenciamento de mão de obra | 7830200 — Fornecimento e gestão de recursos humanos para terceiros | 7319099 — Outras atividades de publicidade não especificadas anteriormente | 7320300 — Pesquisas de mercado e de opinião pública | 8291100 — Atividades de cobrança e informações cadastrais | 6619399 — Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente | 6619302 — Correspondentes de instituições financeiras | 8230001 — Serviços de organização de feiras, congressos, exposições e festas | 8211300 — Serviços combinados de escritório e apoio administrativo",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08684547000165,MAGNESITA REFRATARIOS S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 23,Classe 2341,2341900,Fabricação de produtos cerâmicos refratários,7739099,RFB_estab,0.9,7739099,"Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador","7739099 — Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador",2341900,Manufatura,Bens Industriais,Atividade Principal
08723106000125,BHG S.A. - BRAZIL HOSPITALITY GROUP,I — ALOJAMENTO E ALIMENTAÇÃO,Divisão 55,Classe 5510,5510801,Hotéis,"4110700,6462000,6810201,6810202,6822600,7490104",RFB_estab,0.9,4110700 | 6462000 | 6810201 | 6810202 | 6822600 | 7490104,"Incorporação de empreendimentos imobiliários | Holdings de instituições não financeiras | Compra e venda de imóveis próprios | Aluguel de imóveis próprios | Gestão e administração da propriedade imobiliária | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","4110700 — Incorporação de empreendimentos imobiliários | 6462000 — Holdings de instituições não financeiras | 6810201 — Compra e venda de imóveis próprios | 6810202 — Aluguel de imóveis próprios | 6822600 — Gestão e administração da propriedade imobiliária | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",5510801,Hospitalidade & Alimentação,Hospitalidade & Alimentação,Atividade Principal
08741499000108,PRUMO LOGISTICA SA,N — ADM. E SERVIÇOS COMPLEMENTARES,Divisão 82,Classe 8211,8211300,Serviços combinados de escritório e apoio administrativo,"5250804,4911600,5030101,5212500",RFB_estab,0.9,5250804 | 4911600 | 5030101 | 5212500,Organização logística do transporte de carga | Transporte ferroviário de carga | Navegação de apoio marítimo | Carga e descarga,5250804 — Organização logística do transporte de carga | 4911600 — Transporte ferroviário de carga | 5030101 — Navegação de apoio marítimo | 5212500 — Carga e descarga,8211300,Serviços Administrativos,Serviços Administrativos,Atividade Principal
08764621000153,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,F — CONSTRUÇÃO,Divisão 41,Classe 4110,4110700,Incorporação de empreendimentos imobiliários,,RFB_estab,0.9,,,,4110700,Construção & Engenharia,Construção & Engenharia,Atividade Principal
08769451000108,VIRGO COMPANHIA DE SECURITIZAÇÃO,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6492,6492100,Securitização de créditos,,RFB_estab,0.9,,,,6492100,Serviços Financeiros,Serviços Financeiros Diversos,Outros Serviços Financeiros
08773135000100,2W ECOBANK S.A.,D — ELETRICIDADE E GÁS,Divisão 35,Classe 3513,3513100,Comércio atacadista de energia elétrica,"4789099,6201501,6462000,7020400,8291100",RFB_estab,0.9,4789099 | 6201501 | 6462000 | 7020400 | 8291100,"Comércio varejista de outros produtos não especificados anteriormente | Desenvolvimento de programas de computador sob encomenda | Holdings de instituições não financeiras | Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | Atividades de cobrança e informações cadastrais","4789099 — Comércio varejista de outros produtos não especificados anteriormente | 6201501 — Desenvolvimento de programas de computador sob encomenda | 6462000 — Holdings de instituições não financeiras | 7020400 — Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica | 8291100 — Atividades de cobrança e informações cadastrais",3513100,Energia & Gás,Energia Elétrica,Distribuição
08773191000136,BRASILIANA PARTICIPAÇÕES S/A,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08795211000170,MAESTRO LOCADORA DE VEICULOS S.A.,N — ADM. E SERVIÇOS COMPLEMENTARES,Divisão 77,Classe 7711,7711000,Locação de automóveis sem condutor,"6462000,6463800,7490104,7719599,7731400,7732201,8299799",RFB_estab,0.9,6462000 | 6463800 | 7490104 | 7719599 | 7731400 | 7732201 | 8299799,"Holdings de instituições não financeiras | Outras sociedades de participação, exceto holdings | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários | Locação de outros meios de transporte não especificados anteriormente, sem condutor | Aluguel de máquinas e equipamentos agrícolas sem operador | Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","6462000 — Holdings de instituições não financeiras | 6463800 — Outras sociedades de participação, exceto holdings | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários | 7719599 — Locação de outros meios de transporte não especificados anteriormente, sem condutor | 7731400 — Aluguel de máquinas e equipamentos agrícolas sem operador | 7732201 — Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente",7711000,Serviços Administrativos,Serviços Administrativos,Atividade Principal
08797760000183,CURY CONSTRUTORA E INCORPORADORA S.A.,F — CONSTRUÇÃO,Divisão 41,Classe 4120,4120400,Construção de edifícios,"4110700,8211300",RFB_estab,0.9,4110700 | 8211300,Incorporação de empreendimentos imobiliários | Serviços combinados de escritório e apoio administrativo,4110700 — Incorporação de empreendimentos imobiliários | 8211300 — Serviços combinados de escritório e apoio administrativo,4120400,Construção & Engenharia,Construção & Engenharia,Atividade Principal
08801621000186,SYN PROP & TECH S.A.,F — CONSTRUÇÃO,Divisão 41,Classe 4110,4110700,Incorporação de empreendimentos imobiliários,"4399101,6821801,6821802,6822600",RFB_estab,0.9,4399101 | 6821801 | 6821802 | 6822600,Administração de obras | Corretagem na compra e venda e avaliação de imóveis | Corretagem no aluguel de imóveis | Gestão e administração da propriedade imobiliária,4399101 — Administração de obras | 6821801 — Corretagem na compra e venda e avaliação de imóveis | 6821802 — Corretagem no aluguel de imóveis | 6822600 — Gestão e administração da propriedade imobiliária,4110700,Construção & Engenharia,Construção & Engenharia,Atividade Principal
08807432000110,YDUQS PARTICIPACOES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,8550302,RFB_estab,0.9,8550302,"Atividades de apoio à educação, exceto caixas escolares","8550302 — Atividades de apoio à educação, exceto caixas escolares",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08810422000134,GUARARAPES PAINÉIS S.A.,C — INDÚSTRIAS DE TRANSFORMAÇÃO,Divisão 16,Classe 1621,1621800,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada","0210101,0210103,0210107,0220901,0230600,4693100,4930201,4930202,8211300",RFB_estab,0.9,0210101 | 0210103 | 0210107 | 0220901 | 0230600 | 4693100 | 4930201 | 4930202 | 8211300,"Cultivo de eucalipto | Cultivo de pinus | Extração de madeira em florestas plantadas | Extração de madeira em florestas nativas | Atividades de apoio à produção florestal | Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | Serviços combinados de escritório e apoio administrativo","0210101 — Cultivo de eucalipto | 0210103 — Cultivo de pinus | 0210107 — Extração de madeira em florestas plantadas | 0220901 — Extração de madeira em florestas nativas | 0230600 — Atividades de apoio à produção florestal | 4693100 — Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários | 4930201 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal | 4930202 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | 8211300 — Serviços combinados de escritório e apoio administrativo",1621800,Manufatura,Bens Industriais,Atividade Principal
08811643000127,TRISUL S.A.,,,,,,,UNKNOWN,0.2,,,,0000000,,,Atividade Principal
08827501000158,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,"7112000,7111100,7119799,4399199,4299599,4212000,4213800,4221901,4222701,4223500,3600601,3701100,3702900,3812200,3821100,3822000",RFB_estab,0.9,7112000 | 7111100 | 7119799 | 4399199 | 4299599 | 4212000 | 4213800 | 4221901 | 4222701 | 4223500 | 3600601 | 3701100 | 3702900 | 3812200 | 3821100 | 3822000,"Serviços de engenharia | Serviços de arquitetura | Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente | Serviços especializados para construção não especificados anteriormente | Outras obras de engenharia civil não especificadas anteriormente | Construção de obras de arte especiais | Obras de urbanização - ruas, praças e calçadas | Construção de barragens e represas para geração de energia 
elétrica | Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação | Construção de redes de transportes por dutos, exceto para água e esgoto | Captação, tratamento e distribuição de água | Gestão de redes de esgoto | Atividades relacionadas a esgoto, exceto a gestão de redes | Coleta de resíduos perigosos | Tratamento e disposição de resíduos não perigosos | Tratamento e disposição de resíduos perigosos","7112000 — Serviços de engenharia | 7111100 — Serviços de arquitetura | 7119799 — Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente | 4399199 — Serviços especializados para construção não especificados anteriormente | 4299599 — Outras obras de engenharia civil não especificadas anteriormente | 4212000 — Construção de obras de arte especiais | 4213800 — Obras de urbanização - ruas, praças e calçadas | 4221901 — Construção de barragens e represas para geração de energia 
elétrica | 4222701 — Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação | 4223500 — Construção de redes de transportes por dutos, exceto para água e esgoto | 3600601 — Captação, tratamento e distribuição de água | 3701100 — Gestão de redes de esgoto | 3702900 — Atividades relacionadas a esgoto, exceto a gestão de redes | 3812200 — Coleta de resíduos perigosos | 3821100 — Tratamento e disposição de resíduos não perigosos | 3822000 — Tratamento e disposição de resíduos perigosos",6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08845676000198,CORPÓREOS - SERVIÇOS TERAPÊUTICOS S.A.,Q — SAÚDE HUMANA E SERVIÇOS SOCIAIS,Divisão 86,Classe 8650,8650004,Atividades de fisioterapia,"9602502,8211300",RFB_estab,0.9,9602502 | 8211300,Atividades de estética e outros serviços de cuidados com a beleza | Serviços combinados de escritório e apoio administrativo,9602502 — Atividades de estética e outros serviços de cuidados com a beleza | 8211300 — Serviços combinados de escritório e apoio administrativo,8650004,Saúde,Saúde,Atividade Principal
08873873000110,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,N — ADM. E SERVIÇOS COMPLEMENTARES,Divisão 82,Classe 8211,8211300,Serviços combinados de escritório e apoio administrativo,"6462000,8299799,7112000,7119799,7312200",RFB_estab,0.9,6462000 | 8299799 | 7112000 | 7119799 | 7312200,"Holdings de instituições não financeiras | Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente | Serviços de engenharia | Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente | Agenciamento de espaços para publicidade, exceto em veículos de comunicação","6462000 — Holdings de instituições não financeiras | 8299799 — Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente | 7112000 — Serviços de engenharia | 7119799 — Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente | 7312200 — Agenciamento de espaços para publicidade, exceto em veículos de comunicação",8211300,Serviços Administrativos,Serviços Administrativos,Atividade Principal
08884213000135,BCO PATAGONIA S.A.,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6422,6422100,"Bancos múltiplos, com carteira comercial",,RFB_estab,0.6,,,,6422100,Serviços Financeiros,Bancos,Bancos Comerciais
08887330000152,COSAN LIMITED,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08902291000115,CSN MINERAÇÃO S.A.,B — INDÚSTRIAS EXTRATIVAS,Divisão 07,Classe 0710,0710301,Extração de minério de ferro,"0710302,0990401,4612500,4689301,4911600,4930202,5011401,5231102,6463800",RFB_estab,0.9,0710302 | 0990401 | 4612500 | 4689301 | 4911600 | 4930202 | 5011401 | 5231102 | 6463800,"Pelotização, sinterização e outros beneficiamentos de minério de ferro | Atividades de apoio à extração de minério de ferro | Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos | Comércio atacadista de produtos da extração mineral, exceto combustíveis | Transporte ferroviário de carga | Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | Transporte marítimo de cabotagem - Carga | Atividades do Operador Portuário | Outras sociedades de participação, exceto holdings","0710302 — Pelotização, sinterização e outros beneficiamentos de minério de ferro | 0990401 — Atividades de apoio à extração de minério de ferro | 4612500 — Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos | 4689301 — Comércio atacadista de produtos da extração mineral, exceto combustíveis | 4911600 — Transporte ferroviário de carga | 4930202 — Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional | 5011401 — Transporte marítimo de cabotagem - Carga | 5231102 — Atividades do Operador Portuário | 6463800 — Outras sociedades de participação, exceto holdings",0710301,Mineração,Mineração,Atividade Principal
08904552000136,LAEP INVESTMENTS LTD,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08926302000105,DOMMO ENERGIA S.A.,B — INDÚSTRIAS EXTRATIVAS,Divisão 06,Classe 0600,0600001,Extração de petróleo e gás natural,,RFB_estab,0.9,,,,0600001,Mineração,Mineração,Atividade Principal
08935054000150,MULTINER S/A,,,,,,,UNKNOWN,0.2,,,,0000000,,,Atividade Principal
08936792000112,INTERNATIONAL MEAL COMPANY HOLDINGS S/A,"K — ATIVIDADES FINANCEIRAS, SEGUROS E SERVIÇOS REL.",Divisão 64,Classe 6462,6462000,Holdings de instituições não financeiras,,RFB_estab,0.9,,,,6462000,Serviços Financeiros,Holdings & Conglomerados,Holding Financeira
08943312000140,AGRENCO LIMITED,,,,,,,UNKNOWN,0.2,,,,0000000,,,Atividade Principal
09041168000110,LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES,L — ATIVIDADES IMOBILIÁRIAS,Divisão 68,Classe 6810,6810202,Aluguel de imóveis próprios,"4110700,4120400,6463800,6822600,7490104",RFB_estab,0.9,4110700 | 4120400 | 6463800 | 6822600 | 7490104,"Incorporação de empreendimentos imobiliários | Construção de edifícios | Outras sociedades de participação, exceto holdings | Gestão e administração da propriedade imobiliária | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","4110700 — Incorporação de empreendimentos imobiliários | 4120400 — Construção de edifícios | 6463800 — Outras sociedades de participação, exceto holdings | 6822600 — Gestão e administração da propriedade imobiliária | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",6810202,Imobiliário,Imobiliário,Atividade Principal
09042817000105,BEMOBI MOBILE TECH S.A.,J — INFORMAÇÃO E COMUNICAÇÃO,Divisão 62,Classe 6203,6203100,Desenvolvimento e licenciamento de programas de computador não customizáveis,"6201501,6202300,6204000,6319400,6462000,7319003,7490104",RFB_estab,0.9,6201501 | 6202300 | 6204000 | 6319400 | 6462000 | 7319003 | 7490104,"Desenvolvimento de programas de computador sob encomenda | Desenvolvimento e licenciamento de programas de computador customizáveis | Consultoria em tecnologia da informação | Portais, provedores de conteúdo e outros serviços de informação na Internet | Holdings de instituições não financeiras | Marketing direto | Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","6201501 — Desenvolvimento de programas de computador sob encomenda | 6202300 — Desenvolvimento e licenciamento de programas de computador customizáveis | 6204000 — Consultoria em tecnologia da informação | 6319400 — Portais, provedores de conteúdo e outros serviços de informação na Internet | 6462000 — Holdings de instituições não financeiras | 7319003 — Marketing direto | 7490104 — Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",6203100,"Tecnologia, Mídia & Telecom",Software & Serviços Digitais,Software/Plataformas
